keep,source,project_id,grant_id,acronym,title,summary,funder,programme,call_id,start_date,end_date,status,total_cost,funded_amount,currency,universities,all_participants,keywords,website_url,collected_on
yes,CORDIS,212371,769872,EMPATHIC,"Empathic, Expressive, Advanced Virtual Coach to Improve Independent Healthy-Life-Years of the Elderly","The EMPATHIC Research & Innovation project will research, innovate, explore and validate new paradigms and platforms, laying the foundation for future generations of Personalised Virtual Coaches to assist elderly people living independently at and around their home. 
Innovative multimodal face analytics, adaptive spoken dialogue systems and natural language interfaces are part of what the project will research and innovate, in order to help dependent aging persons and their carers. 
The project will use remote non-intrusive technologies to extract physiological markers of emotional states in real-time for online adaptive responses of the coach, and advance holistic modelling of behavioural, computational, physical and social aspects of a personalised expressive virtual coach. It will develop causal models of coach-user interactional exchanges that engage elders in emotionally believable interactions keeping off loneliness, sustaining health status, enhancing quality of life and simplifying access to future telecare services.
The project will include a demonstration and validation phase with clearly-defined realistic use cases. It will focus on evidence-based, user-validated research and integration of intelligent user and context sensing methods through voice, eye and facial analysis, intelligent heuristics (complex interaction, user intention detection, distraction estimation, system decision), visual and spoken dialogue system, and system reaction capabilities.
Through measurable end-user validation, to be performed in 3 different countries (Spain, Norway and France) with 3 distinct languages and cultures (plus English for R&D), the proposed methods and solutions will ensure usefulness, reliability, flexibility and robustness.
The project partners include health-maintenance end-user organisations, technology developers, academic / research institutes and system integrators.
The project, planned for a 36-month duration, is estimated to require total funding of 4 M€",European Commission,"SOCIETAL CHALLENGES - Health, demographic change and well-being",,2017-11-01,2021-04-30,CLOSED,3999800,3999800,EUR,UDCLV,E-SENIORS: INITIATION DES SENIORS AUX NTIC ASSOCIATION; OSATEK SA; OSLO UNIVERSITETSSYKEHUS HF; Servicio Vasco de Salud Osakidetza; VERINT SYSTEM UK LIMITED; INSTITUT MINES-TELECOM; TUNSTALL HEALTHCARE (UK) LIMITED; UNIVERSITAT DE BARCELONA; UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI; TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY; ACAPELA GROUP BABEL TECHNOLOGIES SA; UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA,,,2026-07-06
yes,CORDIS,267064,101182965,CRYSTAL,Conversational Systems for Emotional Support and Customer Assistance,"CRYSTAL (Conversational Systems for Emotional Support and Customer Assistance) will advance research for a next generation of conversational models and systems that implement reliable, friendly and efficient human-machine interactions that can assist humans in tasks beyond automatic information provision, such as emotional support as well as customer assistance. Emotional support provided to vulnerable individuals, such as ageing adults or people experiencing anxiety or depression. Advanced customer assistance provided to call centres, providing customer care and response to customer inquiries, in an empathic, inviting, accurate and efficient manner. 

Conversational models and systems will be developed by proposing novel learning strategies for domain adaptation, exploring Large Language Models (LLMs) and prompt engineering methodologies. User state estimation will be also considered, and strategies, such as behavioural models and stakeholder goals, will guide the policies for dialogue management. Novel evaluation frameworks will be also designed by including automatic metrics, usability as well as human acceptance of the technology. 

Strict ethical and AI robustness compliance procedures will be applied, as conversational recordings will be collected, anonymised, annotated and encrypted for collaborative work among the project partners. 

The project will apply extensive staff secondments and foster sustainable knowledge exchange. It will grow the experiences and insights of the partner organisations’ staff via intersectoral and interdisciplinary collaborations, implemented through secondments as well as training and networking activities. Dissemination, communication and exploitation activities will expand the project’s impact pathways.",European Commission,Marie Skłodowska-Curie Actions (MSCA),,2024-11-01,2028-10-31,SIGNED,0,717600,EUR,UDCLV,UNIVERSIDAD DE GRANADA; CASER RESIDENCIAL SA; VERINT SYSTEM UK LIMITED; SMARTED SRL; MCI MANAGEMENT CENTER INNSBRUCK INTERNATIONALE HOCHSCHULE GMBH; UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI; APPLICATIONS TECHNOLOGY - APPTEK GMBH; UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA; UNIVERSITY OF ULSTER; PNEUMA HEALTHCARE LIMITED,Ageing well; Emotional Support; Guidance; Customer assistance; Call Center;,,2026-07-06
yes,CORDIS,218542,823907,MENHIR,Mental health monitoring through interactive conversations,"Mental health is an essential component of health; however depression and anxiety are common disorders across the European Union. Many people may be described as “living with” a mental illness, and managing their own symptoms. However, they are often unsure of the thresholds for treatment, how to control their mental health, what are the best coping strategies or which resources are available to them. Conversational systems may facilitate watchful waiting and symptom monitoring, by initiating contact and symptom checking at various times of the day and night. The MENHIR project aims to research and develop conversational technologies to promote mental health and assist people with mental ill health (depression and anxiety) to manage their conditions. The participants will exchange and share their expertise toward this common objective, building a network for exchanging ideas and knowledge between Spain, Germany, Italy and United Kingdom, including academic, non-profit organizations and companies.",European Commission,Research and Innovation Staff Exchange,,2019-02-01,2024-01-31,CLOSED,749800,749800,EUR,UDCLV,UNIVERSITAET ULM; UNIVERSIDAD DE GRANADA; ACTION MENTAL HEALTH; VERINT SYSTEM UK LIMITED; GLOBIT-GLOBALE INFORMATIONSTECHNIKGMBH; UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI; UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA; UNIVERSITY OF ULSTER,"Mental health, depression, anxiety, mood, conversational systems, dialogue systems, chatbots, acoustic analysis, emotion recognition, wellbeing",,2026-07-06
no,CORDIS,291424,101300007,HyperXAI,Hypercomplex Explainable AI: Mathematical Foundations for Trustworthy Models,"The HyperXAI project investigates the mathematical foundations of explainable artificial intelligence (XAI) for hypercomplex neural networks (HvNN). While the rapid expansion of artificial neural networks (ANNs), particularly deep learning, has produced major advances in fields such as image recognition and natural language processing, the reasoning behind their decisions often remains opaque. This challenge becomes even more critical when models deal with complex data structures such as colour information, multidimensional signals, or higher-order spatial relations. Hypercomplex neural networks—based on algebras such as complex numbers, quaternions, and Cayley–Dickson extensions—offer promising solutions, yet systematic approaches to their explainability are still at an early stage.

HyperXAI addresses this gap by integrating advanced mathematics with physics-inspired methodologies to develop rigorous frameworks for explainability and trustworthiness in HvNN. The project will design novel XAI methods tailored to hypercomplex architectures, validate them on synthetic and publicly available benchmark datasets across multiple data modalities, and propose a unified framework for HvNN interpretability.

By embedding explainability directly into HvNN models, HyperXAI will enhance transparency, reproducibility, and reliability. Beyond methodological advances, the project will build a sustainable international network of researchers from Poland, Spain, Czechia, Latvia, Azerbaijan, Türkiye, Iraq, South Korea, and Brazil, representing diverse traditions in mathematics, physics, and computer science.

Through staff exchanges, joint research, training schools, and open science practices, HyperXAI will strengthen interdisciplinary expertise and foster the development of a new generation of researchers. By consolidating the theoretical and computational basis of explainability for HvNN, the project will stimulate the adoption of hypercomplex XAI within the global scientific comm",European Commission,MSCA Staff Exchanges 2025,,2026-11-01,2030-10-31,SIGNED,0,871740,EUR,UMA,UNIVERSIDADE ESTADUAL DE CAMPINAS; POLITECHNIKA KRAKOWSKA; OSTRAVSKA UNIVERZITA; BAKU STATE UNIVERSITY LLC; ANKARA UNIVERSITESI; INDUSTRY-UNIVERSITY COOPERATION FOUNDATION OF HANYANG UNIVERSITY; LATVIJAS UNIVERSITATE; UNIVERSIDAD DE MALAGA; KOCAELI UNIVERSITY; UNIVERSITY OF KUFA; Igdir Universitesi; UNIVERSIDAD DE CADIZ,"deep learning, hypercomplex-valued neural networks, XAI, explainability methods, post-hoc explanations, machine learning, applied physics, fuzzy logic, hypercomplex algebras, topology, complex systems",,2026-07-06
no,CORDIS,230117,952215,TAILOR,"Foundations of Trustworthy AI - Integrating Reasoning, Learning and Optimization","Artificial Intelligence (AI) and all the key digital technologies that are subsumed by the term AI today are an essential part of the answers to many of the daunting challenges that we are facing. AI will impact the everyday lives of citizens as well as all business sectors. To maximize the opportunities and minimize the risks, Europe focuses on human-centered Trustworthy AI, and is taking important steps towards becoming the worldwide centre for Trustworthy AI. Trustworthiness however still requires significant basic research, and it is clear that the only way to achieve this is through the integration of learning, optimisation and reasoning, as neither approach will be sufficient on its own.
The purpose of TAILOR is to build a strong academic-public-industrial research network with the capacity of providing the scientific basis for Trustworthy AI leveraging and combining learning, optimization and reasoning for realizing AI systems that incorporate the safeguards that make them in the reliable, safe, transparent and respectful of human agency and expectations. Not only the mechanisms to maximize benefits, but also those for minimizing harm. The network will be based on a number of innovative state-of-the-art mechanisms. A multi-stakeholder strategic research and innovation research roadmap coordinates and guides the research in the five basic research programs. Each program forming virtual research environments with many of the best AI researchers in Europe addressing the major scientific challenges identified in the roadmap. A collection of mechanisms supporting innovation, commercialization and knowledge transfer to industry. To support network collaboration TAILOR provides mechanisms such as AI-Powered Collaboration Tools, a PhD program, and training programs. A connectivity fund to support active dissemination across Europe through for example allowing the network to grow and to support the scientific stepping up of more research groups.",European Commission,Towards a vibrant European network of AI excellence centres,,2020-09-01,2024-08-31,CLOSED,12000000,12000000,EUR,UMA,SLOVENSKA TECHNICKA UNIVERZITA V BRATISLAVE; UNIVERSIDAD POMPEU FABRA; INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET AUTOMATIQUE; LINKOPINGS UNIVERSITET; POLITECHNIKA POZNANSKA; ABB AB; UNIVERSITE DE LORRAINE; UNIVERSITEIT LEIDEN; TIETOEVRY FINLAND OY; TECHNISCHE UNIVERSITAET GRAZ; LUXEMBOURG INSTITUTE OF HEALTH; ROBERT BOSCH GMBH; IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE; ELECTRICITE DE FRANCE; INSTITUT JOZEF STEFAN; NEDERLANDSE ORGANISATIE VOOR TOEGEPAST NATUURWETENSCHAPPELIJK ONDERZOEK TNO; ETHNIKO KAI KAPODISTRIAKO PANEPISTIMIO ATHINON; UNIVERSITAT BASEL; RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN; UNIVERSITE DE RENNES; FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV; COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES; UNIVERSITE DE MONTPELLIER; SLOVENSKE CENTRUM PRE VYSKUM UMELEJINTELIGENCIE - SLOVAK AI; VRIJE UNIVERSITEIT BRUSSEL; ALBERT-LUDWIGS-UNIVERSITAET FREIBURG; ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE; AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS; DEUTSCHES FORSCHUNGSZENTRUM FUR KUNSTLICHE INTELLIGENZ GMBH; UNIVERSITA DI PISA,"AI, Trustworthy AI, Learning, Optimisation, Reasoning",,2026-07-06
no,CORDIS,198283,675320,NeCS,European Network for Cyber-security,"The European Network for Cybersecurity (NECS) was formed in response to the increased need of highly qualified experts able to cope with all the aspects of the European cybersecurity strategy  that is currently under implementation.
There is indeed an evident need and opportunity to grow a new generation of young researchers able to answer this demand for expertize, trained to the changing nature of the challenges to be faced. These challenges include evolvable threats and new technological means to exploit network and information security vulnerabilities of cyber systems that have eventually consequences in the physical world. Starting from these considerations, the European Commission proposed the “DIRECTIVE OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL concerning measures to ensure a high common level of network and information security across the Union” . This directive proposal, on the one hand, recognizes the relevance for the European economy of cybersecurity, on the other one, poses the regulatory basis for achieving a common level of cybersecurity preparedness among the main European public/private stakeholders. 

This 4-year project for a cybersecurity research and training network aims at contributing to answer this increased demand of human expertise in the field. The project; by fosters ing a multi-sectorial/disciplinary approach that is clearly necessary for tackling all cybersecurity aspects - as also recognized by the European Network and Information Security (NIS) platform recently established by the EU to contribute to the strategy that is firmly based on a public/private cooperation.

Being cybersecurity inherently multi-sectorial, NECS has participants (beneficiaries and partners) both from the academic sector (7) and non-academic one (5). 

In the NECS research and training network, multi-disciplinary expertise has been collected and interlinked in order to have as a centre of gravity the cybersecurity security area.",European Commission,Marie Skłodowska-Curie Innovative Training Networks (ITN-ETN),,2015-09-01,2019-08-31,CLOSED,3882227.76,3882227.76,EUR,UMA,UNIPOL GRUPPO FINANZIARIO SPA; SME INSTITUTO NACIONAL DE CIBERSEGURIDAD DE ESPANA MP SA; ATOS SPAIN SA; HEWLETT PACKARD ITALIANA SRL; CONSIGLIO NAZIONALE DELLE RICERCHE; UNIVERSITY OF KENT; UNIVERSITA DEGLI STUDI DI TRENTO; BRITISH TELECOMMUNICATIONS PLC; TECHNISCHE UNIVERSITAT DARMSTADT; UNIVERSIDAD DE MALAGA; ATOS IT SOLUTIONS AND SERVICES IBERIA SL; UNITED NATIONS INTERREGIONAL CRIME AND JUSTICE RESEARCH INSTITUTE,"cyber security, risk assessment and management for cyber security, information, sharing, security metrics",,2026-07-06
no,CORDIS,264795,101169233,InnoGuard,InnoGuard: Hybrid and Generative Intelligence for Trustworthy Autonomous Cyber-Physical Systems,"InnoGuard addresses novel challenges imposed by quality assurance of Autonomous Cyber-Physical Systems (ACPS), which have integrated Artificial Intelligence (AI) components. Their use in our daily lives is increasing, such as in public transport systems, highlighting the need for novel, robust development methodologies to ensure their dependability, whose compromise could have severe consequences, as exemplified by various incidents (e.g., accidents caused by Tesla's autopilot system). To ensure ACP dependability,  InnoGuard targets developing novel methods for ACPS quality assurance by creating a tailored training program for Early-Stage Researchers (ESRs), with scientific objectives including methods to automate ACPS quality assessment and behavior evolution using AI techniques and enhancing ACPS dependability through real-time security, privacy, and uncertainty handling solutions. Additionally, InnoGuard seeks to improve the trustworthiness of AI methods, enhance environmental sustainability by increasing the energy efficiency of ACPSs with the usage of AI methods, including Large Language Models (LLMs), and validate such techniques in open-source contexts such as Robot Operating Systems (ROS)-based systems. Ultimately, InnoGuard will deliver novel techniques and methodological principles for ACPS quality assurance, ensuring high trustworthiness, reliability, and legal compliance. The project's holistic approach encompasses technical advancements and training initiatives, with a broad plan to disseminate results to industry stakeholders, associations, and the wider public. Through these efforts, InnoGuard strives to elevate the status of ESRs as future experts in ACPS engineering.",European Commission,MSCA Doctoral Networks 2023,,2024-09-01,2028-08-31,SIGNED,0,3220718.4,EUR,UMA,STICHTING VU; MONDRAGON GOI ESKOLA POLITEKNIKOA JOSE MARIA ARIZMENDIARRIETA S COOP; UNIVERSITAET BERN; SIMULA RESEARCH LABORATORY AS; OSLOMET - STORBYUNIVERSITETET; UNIVERSITA DEGLI STUDI DEL SANNIO; UNIVERSIDAD DE MALAGA; ZURCHER HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN,AI-Enabled Cyber-Physical Systems; Quality Assurance; Large Language Models; Law in AI,,2026-07-06
no,CORDIS,290374,101291194,EARTH-AID,Agentic AI for Trustworthy Impact Simulations Integrating Digital Twins and Data Lakes for Geohazards & Georesources within Destination Earth,"EARTH-AID delivers GEODE, a trustworthy agentic AI that turns plain-language questions from experts and non-experts into local, uncertainty-aware impact assessments on top of DestinE-related Digital Twins (DTs). GEODE couples an generative AI interface (grounded in curated data lakes) with reasoning-and-planning and a probabilistic belief state, then actuates DT workflows and fast surrogate models to produce explainable maps, metrics, and recommendations in minutes. The project integrates assets from DT-GEO, GeoTwins, EPOS, and EuroHPC: harmonised workflow orchestration, interoperable metadata/APIs, and scalable HPC/Cloud deployment. A high-resolution exposure model (building-level, dynamic population) and citizen-science streams (e.g., felt reports) enable robust consequence analysis. Learning Local Emulators accelerate complex simulations while preserving quantified uncertainty and provenance.
EARTH-AID is user-centric: domain WPs (earthquakes, volcanoes, tsunamis, geoenergy/resources) co-design actionable user stories with operators, civil protection, and industry; cross-domain pilots address compound hazards (e.g., earthquake→tsunami). A transversal Responsible AI package implements ethics-by-design (EU AI Act), transparency, audit trails, bias testing, and multilingual, accessible interfaces. Outcomes meet the call’s Expected Outcomes: (i) innovative AI aligned with GenAI4EU/Apply AI delivering powerful local assessments fused with real-time data; (ii) novel interfaces translating non-technical needs into tailored scenarios; and (iii) best-practice guidelines for DT-AI impact assessment and risk communication. Target TRL ≥7 demonstrators will be validated with end users at representative European sites. EARTH-AID’s open standards, training, and uptake plan (DestinE/EPOS integration; standardisation with ISO/OGC/CEN) provide a clear path to operational adoption, helping save lives, reduce losses, and strengthen public trust in Europe’s geohazard services.",European Commission,Research infrastructures,,2026-09-01,2029-08-31,SIGNED,0,9999101.9,EUR,UMA,LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN; UNIVERSITA' DEGLI STUDI DI BERGAMO; EUROPEAN PLATE OBSERVING SYSTEM - EUROPEAN RESEARCH INFRASTRUCTURE CONSORTIUM; LABORATORIO DE INSTRUMENTACAO E FISICA EXPERIMENTAL DE PARTICULAS LIP; AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS; UNIVERSITA DI PISA; GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG; UNIVERSITE GRENOBLE ALPES; NORGES GEOTEKNISKE INSTITUTT AS; EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH; STICHTING ORFEUS; ASSOCIATION CENTRE SISMOLOGIQUE EURO-MEDITERRANEEN; UNIVERSITE PARIS CITE; UNIVERSITE GUSTAVE EIFFEL; UNIVERSIDAD DE MALAGA; ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA; CINECA CONSORZIO INTERUNIVERSITARIO; INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT; CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS; VLAAMS INSTITUUT VOOR DE ZEE; BARCELONA SUPERCOMPUTING CENTER CENTRO NACIONAL DE SUPERCOMPUTACION; MONDAIC AG; Instytut Geofizyki Polskiej Akademii Nauk,"DestinE, Agentic AI, Digital Twins, Geohazazards, Georesources, Impact Assement",,2026-07-06
no,CORDIS,221272,830929,CyberSec4Europe,Cyber Security Network of Competence Centres for Europe,"CyberSec4Europe is a research-based consortium with 44 participants covering 21 EU Member States and Associated Countries. It has received more than 40 support letters and promises of cooperation from public administrations, international organisations, and key associations worldwide including Europe (such as ECSO), Asia, and North America. As pilot for a Cybersecurity Competence Network, it will test and demonstrate potential governance structures for the network of competence centres using the best practices examples from the expertise and experience of the participants, including concepts like CERN. CyberSec4Europe will support addressing key EU Directives and Regulations, such as GDPR, PSD2, eIDAS, and ePrivacy, and help to implement the EU Cybersecurity Act including, but not limited to supporting the development of the European skills-base, the certification framework and ENISA’s role. The 26 ECSO participants in CyberSec4Europe are active in all 6 ECSO Working Groups, including chairing many subgroups in cybersecurity certification, vertical sectors, and international cooperation, as well as having representatives on the ECSO Board of Directors and the Cybersecurity Public-Private Partnership Board. CyberSec4Europe participants address 14 key cybersecurity domain areas, 11 technology/applications elements and nine crucial vertical sectors. With over 100 cybersecurity projects, CyberSec4Europe participants have been addressing a comprehensive set of issues across the cybersecurity domain. The project demonstration cases will address cybersecurity challenges within the vertical sectors of digital infrastructure, finance, government and smart cities, health and medicine and transportation. In addition to the demonstration of the governance structure and the operation of the network, CyberSec4Europe will develop a roadmap and recommendations for the implementation of the Network of Competence Centres using the practical experience gained in the project.",European Commission,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT),,2019-02-01,2022-12-31,CLOSED,15999981.25,15999981.25,EUR,UMA,"COMUNE DI GENOVA; JYVASKYLAN AMMATTIKORKEAKOULU OY; TIMELEX; AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH; INTERNATIONAL CYBER INVESTIGATION TRAINING ACADEMY; UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN; Masarykova univerzita; CYBERNETICA AS; TEKNOLOGIAN TUTKIMUSKESKUS VTT OY; VAF S.R.O.; CONCEPTIVITY SARL; IDRYMA TECHNOLOGIAS KAI EREVNAS; SINTEF AS; ATOS SPAIN SA; UNIVERSITE TOULOUSE II-JEAN JAURES; UNIVERSIDAD DE MURCIA; UNIVERSITE DU LUXEMBOURG; CONSIGLIO NAZIONALE DELLE RICERCHE; TRUST IN DIGITAL LIFE; UNIVERSITY OF PIRAEUS RESEARCH CENTER; BANCO BILBAO VIZCAYA ARGENTARIA SA*; ARCHIMEDE SOLUTIONS SARL; JOHANN WOLFGANG GOETHE-UNIVERSITAET FRANKFURT AM MAIN; UNIVERZA V MARIBORU; ABI LAB-CENTRO DI RICERCA E INNOVAZIONE PER LA BANCA; FONDAZIONE BRUNO KESSLER; NEC LABORATORIES EUROPE GMBH; POLITECNICO DI TORINO; DANMARKS TEKNISKE UNIVERSITET; DAWEX SYSTEMS","Training in Security, Cyber Range, Certification, Governance",,2026-07-06
no,CORDIS,232578,101017743,SONICOM,SONICOM - Transforming auditory-based social interaction and communication in AR/VR,"Immersive audio is our everyday experience of being able to hear and interact with sounds around us. Simulating spatially located sounds in virtual or augmented reality (VR/AR) must be done in a unique way for each individual and currently requires expensive and time-consuming individual measurements, making it commercially unfeasible. Furthermore, the impact of immersive audio beyond perceptual metrics such as presence and localisation is still an unexplored area of research, specifically when related with social interaction, entering the behavioural and cognitive realms. SONICOM will revolutionise the way we interact socially within AR/VR environments and applications by leveraging methods from Artificial Intelligence (AI) to design a new generation of immersive audio technologies and techniques, specifically looking at personalisation and customisation of the audio rendering. Using a data-driven approach, it will explore, map and model how the physical characteristics of spatialised auditory stimuli can influence observable behavioural, physiological, kinematic, and psychophysical reactions of listeners within social interaction scenarios. The developed techniques and models will be evaluated in an ecologically valid manner, exploiting AR/VR simulations as well as real-life scenarios, and developing appropriate hardware and software proofs-of-concept. Finally, in order to reinforce the idea of reproducible research and promoting future development and innovation in the area of auditory-based social interaction, the SONICOM Ecosystem will be created, which will include auditory data closely linked with model implementations and immersive audio rendering components.",European Commission,EXCELLENT SCIENCE - Future and Emerging Technologies (FET),,2021-01-01,2026-06-30,SIGNED,5651042.5,5651042.5,EUR,UMA,IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE; ETHNIKO KAI KAPODISTRIAKO PANEPISTIMIO ATHINON; REACTIFY MUSIC LLP; USOUND GMBH; UNIVERSITA DEGLI STUDI DI MILANO; UNIVERSIDAD DE MALAGA; UNIVERSITY OF GLASGOW; DREAMWAVES GMBH; OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN; CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS; SORBONNE UNIVERSITE,"Immersive audio, Virtual and Augmented Reality, social interaction, artificial intelligence, binaural spatialisation, head-related transfer function",,2026-07-06
